left;right;Category;Singular/Plural;N / M / F;weight;processor;processor_args;;;;;
ADJ_SPEED_PL_NOM;panischen;;;;1;generic_processor;speed_percentile_gt:80, speed_percentile_lt:100;;;;;
ATT_FLIGHT;in einem Bogen;;;;1;generic_processor;flight_shape: bend;;;;;
ATT_FLIGHT;gerade;;;;1;generic_processor;full_path_straightness_gt:0.97;;;;;
ADJ_FLAP_SI_M;steten;;s;m;1;generic_processor;flap_frequency_percentile_lt:75, flap_steadiness_perecentile_lt:75;;;;;
ADJ_FLAP_SI_N;steten;;s;n;1;generic_processor;flap_frequency_percentile_lt:75, flap_steadiness_perecentile_lt:75;;;;;
ADJ_FLAP_PL;steten;;p;p;1;generic_processor;flap_frequency_percentile_lt:75, flap_steadiness_perecentile_lt:75;;;;;
ADJ_FLAP_SI_M;lahmen;;;;1;generic_processor;flap_frequency_percentile_lt:25;;;;;
ADJ_FLAP_SI_N;lahmen;;;;1;generic_processor;flap_frequency_percentile_lt:25;;;;;
ADJ_FLAP_PL;lahmen;;;;1;generic_processor;flap_frequency_percentile_lt:25;;;;;
ADJ_FLAP_SI_M;sehr langsamen;;;;1;generic_processor;flap_frequency_percentile_lt:35;;;;;
ADJ_FLAP_SI_N;sehr langsamen;;;;1;generic_processor;flap_frequency_percentile_lt:35;;;;;
ADJ_FLAP_PL;sehr langsamen;;;;1;generic_processor;flap_frequency_percentile_lt:35;;;;;
ADJ_FLAP_SI_M;langsamen;;;;1;generic_processor;flap_frequency_percentile_gt:15,flap_frequency_percentile_lt:40;;;;;
ADJ_FLAP_SI_N;langsamen;;;;1;generic_processor;flap_frequency_percentile_gt:15,flap_frequency_percentile_lt:40;;;;;
ADJ_FLAP_PL;langsamen;;;;1;generic_processor;flap_frequency_percentile_gt:15,flap_frequency_percentile_lt:40;;;;;
ADJ_FLAP_SI_M;sehr schnellen;;;;1;generic_processor;flap_frequency_percentile_gt:75;;;;;
ADJ_FLAP_SI_N;sehr schnellen;;;;1;generic_processor;flap_frequency_percentile_gt:75;;;;;
ADJ_FLAP_PL;sehr schnellen;;;;1;generic_processor;flap_frequency_percentile_gt:75;;;;;
ADJ_FLAP_SI_M;schnellen;;;;1;generic_processor;flap_frequency_percentile_gt:50;;;;;
ADJ_FLAP_SI_N;schnellen;;;;1;generic_processor;flap_frequency_percentile_gt:50;;;;;
ADJ_FLAP_PL;schnellen;;;;1;generic_processor;flap_frequency_percentile_gt:50;;;;;
ADJ_FLAP_SI_M;flotten;;;;1;generic_processor;flap_frequency_percentile_gt:50;;;;;
ADJ_FLAP_SI_N;flotten;;;;1;generic_processor;flap_frequency_percentile_gt:50;;;;;
ADJ_FLAP_PL;flotten;;;;1;generic_processor;flap_frequency_percentile_gt:50;;;;;
ADJ_FLAP_SI_M;gemächlichen;;;;1;generic_processor;flap_frequency_percentile_gt:15,flap_frequency_percentile_lt:50;;;;;
ADJ_FLAP_SI_N;gemächlichen;;;;1;generic_processor;flap_frequency_percentile_gt:15,flap_frequency_percentile_lt:50;;;;;
ADJ_FLAP_PL;gemächlichen;;;;1;generic_processor;flap_frequency_percentile_gt:15,flap_frequency_percentile_lt:50;;;;;
ADJ_FLAP_SI_M;unruhigen;;;;1;generic_processor;flap_steadiness_perecentile_lt:50;;;;;
ADJ_FLAP_SI_N;unruhigen;;;;1;generic_processor;flap_steadiness_perecentile_lt:50;;;;;
ADJ_FLAP_PL;unruhigen;;;;1;generic_processor;flap_steadiness_perecentile_lt:50;;;;;
ADJ_FLAP_SI_M;ruhigen;;;;1;generic_processor;flap_steadiness_perecentile_gt:50;;;;;
ADJ_FLAP_SI_N;ruhigen;;;;1;generic_processor;flap_steadiness_perecentile_gt:50;;;;;
ADJ_FLAP_PL;ruhigen;;;;1;generic_processor;flap_steadiness_perecentile_gt:50;;;;;
ADJ_FLAP_SI_M;panischen;;;;1;generic_processor;flap_steadiness_perecentile_lt:25;;;;;
ADJ_FLAP_SI_N;panischen;;;;1;generic_processor;flap_steadiness_perecentile_lt:25;;;;;
ADJ_FLAP_PL;panischen;;;;1;generic_processor;flap_steadiness_perecentile_lt:25;;;;;
ADJ_LIGHT_SI;finster;;;;1;generic_processor;light_percentile_gt:0, light_percentile_lt:15;;;;;
ADJ_LIGHT_SI_M;finsterer;;;;1;generic_processor;light_percentile_gt:0, light_percentile_lt:15;;;;;
ADJ_LIGHT_SI_N;finsteres;;;;1;generic_processor;light_percentile_gt:0, light_percentile_lt:15;;;;;
ADJ_LIGHT_PL;finstere;;;;1;generic_processor;light_percentile_gt:0, light_percentile_lt:15;;;;;
ADJ_LIGHT_SI_AKK;finsteren;;;;1;generic_processor;light_percentile_gt:0, light_percentile_lt:15;;;;;
ADJ_LIGHT_SI;dunkel;;;;1;generic_processor;light_percentile_gt:0, light_percentile_lt:25;;;;;
ADJ_LIGHT_SI_M;dunkler;;;;1;generic_processor;light_percentile_gt:0, light_percentile_lt:25;;;;;
ADJ_LIGHT_SI_N;dunkles;;;;1;generic_processor;light_percentile_gt:0, light_percentile_lt:25;;;;;
ADJ_LIGHT_PL;dunkle;;;;1;generic_processor;light_percentile_gt:0, light_percentile_lt:25;;;;;
ADJ_LIGHT_SI_AKK;dunklen;;;;1;generic_processor;light_percentile_gt:0, light_percentile_lt:25;;;;;
ADJ_LIGHT_SI;grau;;;;1;generic_processor;light_percentile_gt:20, light_percentile_lt:40;;;;;
ADJ_LIGHT_SI_M;grauer;;;;1;generic_processor;light_percentile_gt:20, light_percentile_lt:40;;;;;
ADJ_LIGHT_SI_N;graues;;;;1;generic_processor;light_percentile_gt:20, light_percentile_lt:40;;;;;
ADJ_LIGHT_PL;graue;;;;1;generic_processor;light_percentile_gt:20, light_percentile_lt:40;;;;;
ADJ_LIGHT_SI_AKK;grauen;;;;1;generic_processor;light_percentile_gt:20, light_percentile_lt:40;;;;;
ADJ_LIGHT_SI;hell;;;;1;generic_processor;light_percentile_gt:50, light_percentile_lt:100;;;;;
ADJ_LIGHT_SI_M;heller;;;;1;generic_processor;light_percentile_gt:50, light_percentile_lt:100;;;;;
ADJ_LIGHT_SI_N;helles;;;;1;generic_processor;light_percentile_gt:50, light_percentile_lt:100;;;;;
ADJ_LIGHT_PL;helle;;;;1;generic_processor;light_percentile_gt:50, light_percentile_lt:100;;;;;
ADJ_LIGHT_SI_AKK;hellen;;;;1;generic_processor;light_percentile_gt:50, light_percentile_lt:100;;;;;
ADJ_LIGHT_SI;taghell;;;;1;generic_processor;light_percentile_gt:40, light_percentile_lt:100;;;;;
ADJ_LIGHT_SI_M;tagheller;;;;1;generic_processor;light_percentile_gt:40, light_percentile_lt:100;;;;;
ADJ_LIGHT_SI_N;taghelles;;;;1;generic_processor;light_percentile_gt:40, light_percentile_lt:100;;;;;
ADJ_LIGHT_PL;taghelle;;;;1;generic_processor;light_percentile_gt:40, light_percentile_lt:100;;;;;
ADJ_LIGHT_SI_AKK;taghellen;;;;1;generic_processor;light_percentile_gt:40, light_percentile_lt:100;;;;;
ADJ_LIGHT_SI;schwarz;;;;1;generic_processor;light_percentile_gt:0, light_percentile_lt:15;;;;;
ADJ_LIGHT_SI_M;schwarzer;;s;m;1;generic_processor;light_percentile_gt:0, light_percentile_lt:15;;;;;
ADJ_LIGHT_SI_N;schwarzes;;s;n;1;generic_processor;light_percentile_gt:0, light_percentile_lt:15;;;;;
ADJ_LIGHT_PL;schwarze;;p;p;1;generic_processor;light_percentile_gt:0, light_percentile_lt:15;;;;;
ADJ_LIGHT_SI_AKK;schwarzen;;p;p;1;generic_processor;light_percentile_gt:0, light_percentile_lt:15;;;;;
CD_SI;1,ein;cardinal_digit;;s;1;bird_count_processor;bird_count_eq:1;;;;;
CD_PL;2,zwei, nur zwei;cardinal_digit;;p;1;bird_count_processor;bird_count_eq:2;;;;;
CD_PL;3, drei, ein paar;cardinal_digit;;p;1;bird_count_processor;bird_count_eq:3;;;;;
CD_PL;4, vier, ein paar;cardinal_digit;;p;1;bird_count_processor;bird_count_eq:4;;;;;
CD_PL;5, fünf, einige;cardinal_digit;;p;1;bird_count_processor;bird_count_eq:5;;;;;
CD_PL;6, sechs, einige;cardinal_digit;;p;1;bird_count_processor;bird_count_eq:6;;;;;
CD_PL;7, sieben, einige;cardinal_digit;;p;1;bird_count_processor;bird_count_eq:7;;;;;
CD_PL;8, acht, einige;cardinal_digit;;p;1;bird_count_processor;bird_count_eq:8;;;;;
CD_PL;9, neun, viele;cardinal_digit;;p;1;bird_count_processor;bird_count_eq:9;;;;;
CD_PL;10, zehn, viele;cardinal_digit;;p;1;bird_count_processor;bird_count_eq:10;;;;;
CD_PL;11, elf, viele;cardinal_digit;;p;1;bird_count_processor;bird_count_eq:11;;;;;
CD_PL;12, viele;cardinal_digit;;p;1;bird_count_processor;bird_count_eq:12;;;;;
CD_PL;13, viele;cardinal_digit;;p;1;bird_count_processor;bird_count_eq:13;;;;;
CD_PL;14, viele;cardinal_digit;;p;1;bird_count_processor;bird_count_eq:14;;;;;
CD_PL;15, sehr viele;cardinal_digit;;p;1;bird_count_processor;bird_count_eq:15;;;;;
CD_PL;16, sehr viele;cardinal_digit;;p;1;bird_count_processor;bird_count_eq:16;;;;;
CD_PL;17, sehr viele;cardinal_digit;;p;1;bird_count_processor;bird_count_eq:17;;;;;
CD_PL;18, sehr viele;cardinal_digit;;p;1;bird_count_processor;bird_count_eq:18;;;;;
CD_PL;19, sehr viele;cardinal_digit;;p;1;bird_count_processor;bird_count_eq:19;;;;;
CD_PL;20, sehr viele;cardinal_digit;;p;1;bird_count_processor;bird_count_eq:20;;;;;
CD_PL;21, sehr viele;cardinal_digit;;p;1;bird_count_processor;bird_count_eq:21;;;;;
CD_PL;22, sehr viele;cardinal_digit;;p;1;bird_count_processor;bird_count_eq:22;;;;;
CD_PL;23, sehr viele;cardinal_digit;;p;1;bird_count_processor;bird_count_eq:23;;;;;
V_FLIGHT_SI;gleitet;;;;0.75;always_include_processor;flap_frequency_percentile_lt:15;;;;;
V_FLIGHT_PL;gleiten;;;;0.75;always_include_processor;flap_frequency_percentile_lt:15;;;;;
